1HisotryHomeWinRatio,1HistoryAwayWinRatio,1awayGainPoins,1awayLosePoins,1homeGainPoins,1homeLosePoins,2promotion,Season,Team,firstPlay,inPlayoff,inPlayoff_prediction,playoff_ratio,
5,5,0,0,0,0,0,1949,INJ,1,FALSE,FALSE,0.666666667,0
58.62068966,42.85714286,5.5,5.071428571,5.551724138,5.517241379,2,1949,SLB,0,TRUE,TRUE,0.666666667,0
5,5,0,0,0,0,0,1949,FTW,1,FALSE,FALSE,0.666666667,0
40,48.27586207,3.586206897,3.931034483,5.866666667,6.166666667,2,1949,NYK,0,TRUE,TRUE,0.666666667,0
66.66666667,27.5862069,6.24137931,6,8.2,7,1,1949,WCP,0,TRUE,TRUE,0.666666667,0
48.27586207,43.33333333,3.866666667,3.133333333,7.068965517,5.862068966,2,1949,PHW,0,TRUE,TRUE,0.666666667,0
6.896551724,13.79310345,8.931034483,11.48275862,0.724137931,1.482758621,0,1949,PRO,0,FALSE,FALSE,0.666666667,0
48.27586207,22.22222222,7.407407407,7.222222222,3.517241379,4,1,1949,BOS,0,FALSE,TRUE,0.666666667,1
55.17241379,42.85714286,4.214285714,3.535714286,6.965517241,6.620689655,1,1949,BAB,0,TRUE,TRUE,0.666666667,0
5,5,0,0,0,0,0,1949,MNL,1,TRUE,FALSE,0.666666667,1
58.33333333,45.16129032,2.548387097,2.483870968,4.791666667,5.291666667,2,1949,CHS,0,TRUE,TRUE,0.666666667,0
5,5,0,0,0,0,0,1949,ROC,1,TRUE,FALSE,0.666666667,1
5,5,0,0,0,0,0,1950,TRI,1,TRUE,FALSE,0.705882353,1
5,5,0,0,0,0,0,1950,DNN,1,FALSE,FALSE,0.705882353,0
66.66666667,48.57142857,4.628571429,4.4,9.041666667,7.458333333,2,1950,CHS,0,TRUE,TRUE,0.705882353,0
62.06896552,38.23529412,3.970588235,3.617647059,6.034482759,6.206896552,2,1950,NYK,0,TRUE,TRUE,0.705882353,0
70.58823529,60.60606061,2.151515152,3.121212121,9.735294118,10.14705882,1,1950,ROC,0,TRUE,TRUE,0.705882353,0
5,5,0,0,0,0,0,1950,SHE,1,TRUE,FALSE,0.705882353,1
5,5,0,0,0,0,0,1950,INO,1,TRUE,FALSE,0.705882353,1
54.83870968,29.41176471,7.941176471,7.794117647,4.258064516,2.870967742,2,1950,SLB,0,FALSE,TRUE,0.705882353,1
63.33333333,28.125,5.9375,5.9375,6.2,5.9,2,1950,PHW,0,TRUE,TRUE,0.705882353,0
78.78787879,47.05882353,5.852941176,5.441176471,12.72727273,10.06060606,1,1950,MNL,0,TRUE,TRUE,0.705882353,0
67.64705882,50,5.166666667,5.566666667,8.441176471,8.794117647,1,1950,WCP,0,TRUE,TRUE,0.705882353,0
54.83870968,33.33333333,3.727272727,4.181818182,6.838709677,4.870967742,2,1950,BAB,0,FALSE,TRUE,0.705882353,1
5,5,0,0,0,0,0,1950,WAT,1,FALSE,FALSE,0.705882353,0
5,5,0,0,0,0,0,1950,AND,1,TRUE,FALSE,0.705882353,1
65.38461538,21.21212121,7.242424242,7.181818182,5.730769231,4.346153846,1,1950,BOS,0,FALSE,TRUE,0.705882353,1
44.11764706,14.70588235,4.470588235,9,4.529411765,4.676470588,0,1950,FTW,0,TRUE,TRUE,0.705882353,0
5,5,0,0,0,0,0,1950,SYR,1,TRUE,FALSE,0.705882353,1
97.05882353,50,5.382352941,4.529411765,15.26470588,11.70588235,2,1951,ROC,0,TRUE,TRUE,0.727272727,0
110.5263158,66.66666667,14.46666667,15.53333333,11.26315789,12.47368421,2,1951,WCP,0,FALSE,FALSE,0.727272727,0
75,35.29411765,6.5,6.294117647,12.125,11.96875,1,1951,INO,0,TRUE,TRUE,0.727272727,0
82.35294118,37.5,8.65625,8.84375,9.588235294,8.970588235,1,1951,FTW,0,TRUE,TRUE,0.727272727,0
40,15.15151515,7.212121212,9.272727273,6.066666667,6.133333333,0,1951,BOS,0,TRUE,TRUE,0.727272727,0
50,28.57142857,9.25,12.46428571,4.65625,4.625,1,1951,BAB,0,FALSE,FALSE,0.727272727,0
100,54.54545455,4.848484848,4.909090909,16.1875,2.375,2,1951,MNL,0,TRUE,TRUE,0.727272727,0
100,45.45454545,4.03030303,4,13.93939394,8.727272727,1,1951,SYR,0,TRUE,TRUE,0.727272727,0
57.14285714,19.35483871,8.483870968,8.483870968,6.4,6.428571429,1,1951,TRI,0,FALSE,TRUE,0.727272727,1
70.37037037,50,5.861111111,5.888888889,7.777777778,7.888888889,2,1951,NYK,0,TRUE,TRUE,0.727272727,0
45.45454545,25,10.28125,10.6875,5,3.666666667,2,1951,PHW,0,TRUE,FALSE,0.727272727,1
87.87878788,40,6.466666667,6.533333333,10.45454545,9.545454545,2,1952,ROC,0,TRUE,TRUE,0.8,0
62.5,16,9.28,12.72,7.96875,8,0,1952,BAB,0,FALSE,FALSE,0.8,0
67.64705882,30,4.8,8.166666667,9.441176471,9.323529412,2,1952,SYR,0,TRUE,TRUE,0.8,0
81.81818182,15.625,7.3125,11.21875,8.363636364,7.454545455,2,1952,FTW,0,TRUE,TRUE,0.8,0
64.51612903,34.48275862,12.34482759,12.72413793,6.35483871,6.290322581,2,1952,INO,0,TRUE,FALSE,0.8,1
96.66666667,36.36363636,5.181818182,5.151515152,13.93333333,12.53333333,2,1952,MNL,0,TRUE,TRUE,0.8,0
90.32258065,35.48387097,6.064516129,5.935483871,11.83870968,8.129032258,2,1952,PHW,0,TRUE,TRUE,0.8,0
5,5,0,0,0,0,0,1952,MIH,1,FALSE,FALSE,0.8,0
88,32.35294118,6.823529412,7.441176471,9.84,9.2,2,1952,NYK,0,TRUE,TRUE,0.8,0
86.20689655,33.33333333,8.733333333,9.766666667,7.275862069,7.344827586,1,1952,BOS,0,TRUE,TRUE,0.8,0
73.52941176,13.79310345,2.724137931,10.5862069,7.352941176,6.911764706,2,1953,INO,0,TRUE,TRUE,0.8,0
88,35.48387097,5.967741935,5.580645161,11.88,12.32,2,1953,BOS,0,TRUE,TRUE,0.8,0
77.41935484,41.93548387,4.838709677,4.870967742,12.09677419,10.06451613,2,1953,MNL,0,TRUE,TRUE,0.8,0
133.3333333,18.75,8.3125,9.40625,11.33333333,11.38888889,2,1953,PHW,0,FALSE,TRUE,0.8,1
72.97297297,40,5.166666667,4.8,9.324324324,9.486486486,2,1953,SYR,0,TRUE,TRUE,0.8,0
80,40,4.233333333,4.166666667,9.571428571,9.914285714,2,1953,ROC,0,TRUE,TRUE,0.8,0
64.70588235,21.42857143,7.785714286,10.17857143,5.911764706,5.411764706,2,1953,FTW,0,TRUE,TRUE,0.8,0
34.7826087,9.375,7.34375,8.9375,2.086956522,2.52173913,0,1953,MIH,0,FALSE,FALSE,0.8,0
77.77777778,41.37931034,7.206896552,7,7.444444444,0.666666667,2,1953,NYK,0,TRUE,TRUE,0.8,0
53.125,8.333333333,9.625,16.125,3.3125,3.6875,0,1953,BAB,0,TRUE,FALSE,0.8,1
56,16.66666667,7,10.83333333,4.64,4.84,0,1954,MIH,0,FALSE,FALSE,0.666666667,0
100,57.14285714,4.857142857,4.785714286,13.14285714,10.03571429,2,1954,MNL,0,TRUE,TRUE,0.666666667,0
30,3.846153846,5.653846154,15.03846154,1.6,1.85,1,1954,PHW,0,FALSE,FALSE,0.666666667,0
100,33.33333333,7.633333333,7.166666667,12.05714286,8.628571429,2,1954,SYR,0,TRUE,TRUE,0.666666667,0
78.78787879,46.42857143,5.785714286,6.142857143,8.303030303,8,2,1954,ROC,0,TRUE,TRUE,0.666666667,0
40,12,12.24,13.28,4.8,3.933333333,1,1954,BAB,0,FALSE,FALSE,0.666666667,0
85.18518519,53.57142857,4.821428571,5.071428571,11.96296296,12.48148148,2,1954,NYK,0,TRUE,TRUE,0.666666667,0
87.5,37.5,5.84375,6.0625,9.541666667,6.958333333,2,1954,BOS,0,TRUE,TRUE,0.666666667,0
