RegularSeason,Season,Date,HomeTeam,AwayTeam,HistoryHomeWin,HistoryHomeLose,newFeature,HomeTeamWin
1,0.915254237,0.9,WAZ,POR,2,5,0.905879992,lose
1,0.203389831,0.2,PHW,SYR,47,13,0.98013245,lose
1,0.677966102,0.666666667,POR,SAN,36,17,1.212269082,win
1,0.847457627,0.85,SEA,DET,35,11,1.400189212,win
1,0.050847458,0.05,CHS,FTW,1,1,1.499026099,win
1,0.779661017,0.783333333,DET,CHI,66,25,1.012803532,lose
1,0.610169492,0.616666667,PHX,KCK,23,2,1.358429186,win
0,0.830508475,0.833333333,UTA,SEA,42,15,1.851361294,win
1,0.610169492,0.616666667,LAK,HOU,52,12,1.443467789,win
1,0.457627119,0.45,BOS,BUF,21,2,1.125827814,win
1,0.847457627,0.833333333,BOS,PHI,94,25,0.916487486,lose
1,0.966101695,0.95,HOU,ORL,10,4,1.286423842,win
1,0.728813559,0.733333333,ORL,NYK,11,11,0.95531897,lose
1,0.491525424,0.483333333,HOU,MIL,20,7,1.364498114,win
0,0.915254237,0.916666667,MIL,PHI,53,29,1.217261269,win
1,0.830508475,0.816666667,HOU,NJN,20,7,1.425647203,win
1,0.661016949,0.666666667,GSW,DET,25,9,1.086411872,win
1,0.949152542,0.95,SEA,UTA,33,14,1.143487857,win
1,0.915254237,0.916666667,VAN,SAN,0,8,0.813694863,lose
1,0.169491525,0.183333333,SYR,BOS,55,19,1.196338139,win
1,0.101694915,0.116666667,INO,MNL,11,3,1.122697169,win
1,0.237288136,0.233333333,SYR,NYK,63,6,2.03930784,win
1,0.457627119,0.45,PHX,CHI,25,11,1.162157048,win
1,0.949152542,0.95,LAK,NJN,24,4,0.960914166,lose
1,1,1,BOS,NJ,1,1,1.115323134,win
1,0.745762712,0.733333333,MIA,DET,20,12,0.821581614,lose
0,0.508474576,0.516666667,PHI,BOS,73,40,1.019337747,lose
1,0.457627119,0.466666667,LAK,ATL,30,6,1.006269316,lose
1,0.728813559,0.716666667,CLE,MIN,9,6,0.637863976,lose
